source -> target
https://www.politico.com/tipsheets/morning-money -> https://static.politico.com/cf/05/ee684a274496b04fa20ba2978da1/politico.png
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/video
https://www.politico.com/tipsheets/morning-money -> https://www.instagram.com/politico/
https://www.politico.com/tipsheets/morning-money -> http://edition.pagesuite-professional.co.uk/Launch.aspx?bypass=true&amp;PBID=74262970-aa07-44b3-80c8-21fa8a8ac376
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com//_login?base=https%3A%2F%2Fwww.politico.com&amp;redirect=%2F_login&amp;logout=%2F_logout&amp;lRedirect=true&amp;sRedirect=%2Fsettings&amp;js=false
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/news/fourth-estate
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/newsletters/west-wing-playbook
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/live-events/upcoming
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/newsletters/morning-money/2023/03/13/washington-surveys-the-damage-00086733
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/news/immigration
https://www.politico.com/tipsheets/morning-money -> https://ad.doubleclick.net/ddm/clk/552621144;361799689;x
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/news/2023/03/15/jan-6-footage-grassley-00087196
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/live-events/about
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/huddle/
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/careers
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/rss
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/minutes/congress/
https://www.politico.com/tipsheets/morning-money -> http://api.addthis.com/oexchange/0.8/forward/twitter/offer?pco=tbx32nj-1.0&amp;url=https://politi.co/3JoWpaz&amp;text=Why there was no SVB deal&amp;pubid=politico.com&amp;via=politico
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/tag/cartoon-carousel
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/tag/labor
https://www.politico.com/tipsheets/morning-money -> https://subscriber.politicopro.com/article/2023/03/us-banking-collapses-stems-from-trump-era-rollback-mcguinness-00087208
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/tag/column-tomorrow
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/california
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/live-events/previous
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/apple-touch-icon-72x72.png
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/white-house
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/newsletters/morning-money/2023/03/14/svb-crisis-sparks-small-bank-vs-big-bank-lobbying-battle-00086920
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/dims4/default/27ede68/2147483647/legacy_thumbnail/72x72/quality/90/?url=https%3A%2F%2Fstatic.politico.com%2Fcf%2F05%2Fee684a274496b04fa20ba2978da1%2Fpolitico.png
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/tag/legal
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/about-us
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/newsletters/morning-money
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/payment
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/do-not-sell
https://www.politico.com/tipsheets/morning-money -> https://www.facebook.com/politico/
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/news/2023/03/15/fdic-investment-bank-silicon-valley-bank-sale-00087286
https://www.politico.com/tipsheets/morning-money -> https://www.brookings.edu/opinions/svbs-collapse-exposes-the-feds-massive-failure-to-see-the-banks-warning-signs/
https://www.politico.com/tipsheets/morning-money -> https://static.politico.com/resource/0000017e-7fd1-d4e5-adfe-7ff9f1280001/styleguide/assets/css/style-core.js.63f0f529d71777627cc3e0d8386ade02.gz.css
https://www.politico.com/tipsheets/morning-money -> https://policies.google.com/terms
https://www.politico.com/tipsheets/morning-money -> https://www.politicopro.com/
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/newyork
https://www.politico.com/tipsheets/morning-money -> https://www.politico.eu/uk/
https://www.politico.com/tipsheets/morning-money -> https://www.eenews.net/
https://www.politico.com/tipsheets/morning-money -> https://www.politico.com/transportation
